,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
42275,0521425069,Measure For Measure (Cambridge School Shakespeare),William Shakespeare,1993,Cambridge University Press
42293,0521337291,The Tragedy Of King Lear (The New Cambridge Shakespeare),William Shakespeare,1992,Cambridge University Press
42296,074347712X,Hamlet (Folger Shakespeare Library),William Shakespeare,2003,Washington Square Press
42481,0345417992,A Son Of The Circus (Ballantine Reader'S Circle),John Irving,1997,Ballantine Books
42624,0141186070,"The Log From The \Sea Of Cortez\"" (Penguin Modern Classics)""",John Steinbeck,2001,Penguin Books Ltd
42634,0425105709,"One, Two, Buckle My Shoe",Agatha Christie,2004,Berkley Publishing Group
42640,0451199901,They Do It With Mirrors (Miss Marple Mysteries (Paperback)),Agatha Christie,2001,Signet Book
42665,0140434585,"Four Tragedies: Hamlet, Othello, King Lear, Macbeth (Penguin Classics)",William Shakespeare,1995,Penguin Books
42760,0140436936,Nothing...Except My Genius (Penguin Classics),Oscar Wilde,1997,Penguin Books Ltd
42762,0688103901,The Happy Prince And Other Stories (Books Of Wonder),Oscar Wilde,1991,HarperCollins Publishers
42818,0451529340,The Best Of Oscar Wilde: Selected Plays And Writings,Oscar Wilde,2004,Signet Classics
42841,0140390480,Adventures Of Tom Sawyer (Classics S.),Mark Twain,1986,Penguin Books
42848,0007144350,Collins Complete Works Of Oscar Wilde (Collins Classics S.),Oscar Wilde,2003,HarperCollins Publishers
42907,0141185503,To A God Unknown (Penguin Modern Classics),John Steinbeck,2000,Penguin Books Ltd
42909,0140187502,Sweet Thursday (Twentieth-Century Classics),John Steinbeck,1995,Penguin Books
42989,0004704754,Complete Works Of William Shakespeare,William Shakespeare,1994,Collins
42991,0140430520,The Scarlet Letter And Selected Tales (Penguin English Library),Nathaniel Hawthorne,1978,Penguin USA
43031,0141439688,Persuasion (Penguin Classics),Jane Austen,2003,Penguin Books
43099,1572703164,The Sittaford Mystery (Mystery Masters Series),Agatha Christie,2003,Mystery Masters
43108,1572702087,Murder At The Vicarage: A Miss Marple Mystery,Agatha Christie,2001,Audio Partners
43109,0708901190,Labours Of Hercules,Agatha Christie,1978,Ulverscroft Large Print
43110,0425098532,Sad Cypress (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2004,Berkley Publishing Group
43111,1559278323,Peril At End House: Hercules Poirot Audio Mystery,Agatha Christie,2003,Audio Renaissance
43112,0425169294,N Or M? (Agatha Christie Mysteries Collection (Paperback)),Agatha Christie,1998,Berkley Publishing Group
43113,1572702117,Murder On The Orient Express: A Hercule Poirot Mystery,Agatha Christie,2001,Audio Partners
43114,1572702834,Murder In The Mews: Three Perplexing Cases For Poirot (Mystery Masters Series),Agatha Christie,2002,Audio Partners
43123,0312981716,The Pale Horse (St. Martin'S Minotaur Mysteries),Agatha Christie,2002,St. Martin's Minotaur
43134,0425173747,Curtain,Agatha Christie,2000,Berkley Publishing Group
43136,1572702362,Dead Man'S Folly,Agatha Christie,2001,Audio Partners
43137,157270330X,Hallowe'En Party: A Hercule Poirot Mystery,Agatha Christie,2003,Audio Partners
43138,1572702338,By The Pricking Of My Thumbs,Agatha Christie,2001,Audio Partners
43139,1572702095,The Murder Of Roger Ackroyd: A Hercule Poirot Mystery,Agatha Christie,2001,Audio Partners
43140,0451200519,4:50 From Paddington (Miss Marple Mysteries (Paperback)),Agatha Christie,2000,Signet Book
43146,0399134964,Three Puzzles For Poirot,Agatha Christie,1989,Putnam Publishing Group
43147,0451199782,Murder At The Vicarage (Miss Marple Mystery Series),Agatha Christie,2000,New American Library
43148,0785748830,The Mystery Of The Blue Train (Hercule Poirot Mysteries (Paperback)),Agatha Christie,1999,Sagebrush Bound
43154,0553350455,Hercule Poirot'S Early Cases,Agatha Christie,1986,Bantam Books (Mm)
43156,0312981309,Towards Zero (St. Martin'S Minotaur Mysteries),Agatha Christie,2001,St. Martin's Minotaur
43158,1559278331,Why Didn'T They Ask Evans: Agatha Christie Audio Mystery,Agatha Christie,2003,Audio Renaissance
43264,0671955209,Night Of The Werewolf,Franklin W. Dixon,1979,Simon &amp; Schuster
43273,0590399993,"Return To Terror Tower (Give Yourself Goosebumps Special Edition, No 2)",R. L. Stine,1998,Apple (Scholastic)
43276,0590397761,"Shop Till You Drop ... Dead! (Give Yourself Goosebumps, No 25)",R. L. Stine,1998,Apple
43277,059084766X,"The Knight In Screaming Armor (Give Yourself Goosebumps, No 9)",R. L. Stine,1996,Scholastic
43282,0603032826,The Adventures Of The Wishing-Chair,Enid Blyton,1990,Egmont Childrens Books
43284,0861635744,"Look Out, Secret Seven (Enid Blyton'S The Secret Seven Series Ii)",Enid Blyton,1962,Award Publications
43449,0394468074,"Man Is The Only Animal That Blushes ... Or Needs To;: The Wisdom Of Mark Twain (A Stanyan Book, 16)",Mark Twain,1970,Stanyan Books
43570,0061052507,"Feet Of Clay: A Novel Of Discworld (Pratchett, Terry. Discworld Series.)",Terry Pratchett,1996,HarperPrism
43698,0060177500,Small Gods: A Novel Of Discworld,Terry Pratchett,1994,HarperCollins Publishers
43710,155874875X,"Chicken Soup For The Sports Fan'S Soul : Stories Of Insight, Inspiration And Laughter In The World Of Sport (Chicken Soup For The Soul Series)",Jack Canfield,2000,Health Communications
43779,1573223565,Songbook,Nick Hornby,2003,Riverhead Books
43794,8401327466,El Santuario,Nora Roberts,2000,Plaza &amp; Janes Editores
43899,0140430644,A Connecticut Yankee At King Arthur'S Court (Penguin Classics),Mark Twain,1990,Penguin Books
44000,0517415127,Pride &Amp; Prejudice : Cha Riv *Nr* (Chatham River Press Classics),Jane Austen,1984,Random House Value Publishing
44118,0345424603,The Masterharper Of Pern (Dragonriders Of Pern (Paperback)),Anne McCaffrey,1999,Del Rey Books
44248,0451150651,Salems Lot,Stephen King,1976,Signet Book
44320,0757301002,Chicken Soup For The Nascar Soul,Jack Canfield,2003,Health Communications
44343,0671555448,The Glory Game,Janet Dailey,1985,Simon &amp; Schuster
44346,0553290789,Genuine Lies,Nora Roberts,1999,Bantam
44348,1551660598,Without A Trace,Nora Roberts,1996,Mira
44382,0590339516,Claudia And The Phantom Phone (Baby-Sitters Club (Paperback)),Ann M. Martin,1986,Scholastic Paperbacks
44388,067173055X,"Mystery Of The Masked Rider (Nancy Drew 109) : Mystery Of The Masked Rider (Nancy Drew Mystery Stories, No 109)",Carolyn Keene,1992,Aladdin
44420,0671700367,High Risk (Nancy Drew Files 59) : High Risk (Nancy Drew Files No. 59),Carolyn Keene,1991,Simon Pulse
44441,0590418580,"The Baby-Sitter (Point (Scholastic, Inc.).)",R. L. Stine,1989,Scholastic
44451,0553156608,"The New Girl (Sweet Valley Twins, No 6)",Francine Pascal,1987,Bantam Books (Mm)
44452,0553157795,"War Between The Twins (Sweet Valley Twins, No 37)",Francine Pascal,1990,Sweet Valley
44453,0553283855,"The New Elizabeth (Sweet Valley High, No 63)",Francine Pascal,1990,Sweet Valley
44454,0553157477,"Jessica On Stage (Sweet Valley Twins, No 32)",Francine Pascal,1989,Sweet Valley
44460,0553156640,"The Older Boy (Sweet Valley Twins, No 15)",Francine Pascal,1988,Sweet Valley
44472,0553260502,Malibu Summer (Sweet Valley High Super Edition),Francine Pascal,1986,Sweet Valley
44483,0553282964,Lila'S Story (Svh Super Star #1),Francine Pascal,1989,Bantam Books (Mm)
44496,0453008917,Nightmares &Amp; Dreamscapes (Vol 3),Stephen King,1994,Highbridge Audio
44506,0553155814,"Center Of Attention (Sweet Valley Twins, No. 18)",Francine Pascal,1988,Sweet Valley
44513,1551665247,Ghost Of A Chance,Jayne Ann Krentz,1999,Mira
44528,0590460986,Halloween Night,R. L. Stine,1993,Scholastic
44538,0140071202,A Christmas Carol In Prose Being A Ghost Story Of Christmas: In Prose : Being A Ghost Story Of Christmas,Charles Dickens,1990,Penguin Books
44564,0316172057,Legacies,Janet Dailey,1995,Little Brown &amp; Co
44571,0373898436,Savage Land,Janet Dailey,1988,Harlequin
44578,155166013X,Test Of Time,Jayne Ann Krentz,1994,Mira
44609,0590065874,"Karen'S Unicorn (Baby-Sitters Little Sister, 89)",Ann M. Martin,1997,Scholastic
44610,0590228722,"Farewell, Dawn (Baby-Sitters Club, 88)",Ann M. Martin,1995,Scholastic
44612,0590500600,"Karen'S Field Day (Baby-Sitters Little Sister, 108)",Ann M. Martin,1999,Little Apple Books (Scholastic)
44622,0671550462,Eskimo Sec    Nd P (Messner Holiday Library),Carolyn Keene,1985,Aladdin
44623,0448095319,"The Ringmaster'S Secret (Nancy Drew Mystery Stories, No 31)",Carolyn Keene,1974,Grosset &amp; Dunlap
44631,0590437194,Claudia And Mean Janine (Baby-Sitters Club (Paperback)),Ann M. Martin,1988,Scholastic Paperbacks
44632,0590449613,"Mystery At Claudia'S House (Baby-Sitters Club Mystery, 6)",Ann M. Martin,1992,Scholastic
44633,0590440853,"Beware, Dawn! (Baby-Sitters Club Mystery, 2)",Ann M. Martin,1993,Scholastic
44634,0590448013,"Mary Anne And The Secret In The Attic (Baby-Sitters Club Mystery, 5)",Ann M. Martin,1995,Scholastic
44635,0590435094,Boy-Crazy Stacey (Baby-Sitters Club (Paperback)),Ann M. Martin,1988,Scholastic Paperbacks
44636,059045658X,"Dawn Saves The Planet (Baby-Sitters Club, 57)",Ann M. Martin,1992,Scholastic
44637,0590425005,"Mallory And The Mystery Diary (Baby-Sitters Club, 29)",Ann M. Martin,1995,Scholastic Paperbacks
44639,0590440845,"Stacey And The Missing Ring (Baby-Sitters Club Mystery, 1)",Ann M. Martin,1991,Scholastic
44640,0590470159,The Baby-Sitters Remember Super Special #11,Ann M. Martin,1994,Scholastic
44641,0590449699,"Dawn'S Big Date (Martin, Ann M., Baby-Sitters Club, #50.)",Ann M. Martin,1992,Scholastic
44642,0590447998,"Mallory And The Ghost Cat (Baby-Sitters Club Mystery, 3)",Ann M. Martin,1992,Scholastic
44670,3453147103,Sieh Dich Nicht Um.,Mary Higgins Clark,1998,Heyne
44731,0345277600,"Sir Gawain And The Green Knight, Pearl, Sir Orfeo",J. R. R. Tolkien,1988,Del Rey Books
44856,1856953874,Equal Rites (Discworld Novels (Hardcover)),Terry Pratchett,2001,ISIS Large Print Books
45145,1566192951,The Adventures Of Huckleberry Finn,Mark Twain,1994,Barnes &amp; Noble
45158,0582330866,Pride And Prejudice (Longman Study Texts),Jane Austen,1988,Longman Group United Kingdom
45203,0425172686,Special Forces: A Guided Tour Of U.S. Army Special Forces,Tom Clancy,2001,Berkley Publishing Group
45255,2253152455,Fille Du Destin,Isabel Allende,2002,Distribooks Inc
45307,2226033815,Running Man,Stephen King,2000,Albin Michel
45321,8448040023,Lestat El Vampiro,Anne Rice,1996,Aims Intl Books Corp
45364,038518400X,The Robots Of Dawn,Isaac Asimov,1983,Bantam Dell Pub Group
45431,0671519182,The Night Awakens : A Mystery Writers Of America Anthology,Mary Higgins Clark,2000,Pocket Books
45461,0486270696,The Mysterious Stranger And Other Stories (Dover Thrift Editions),Mark Twain,1992,Dover Publications
45621,0061054097,Gold : The Final Science Fiction Collection (The Final Sci Fi Coll.),Isaac Asimov,1996,Eos
45649,0380841940,"Refugee (Bio Of A Space Tyrant, Vol 1)",Piers Anthony,1991,Harper Mass Market Paperbacks (Mm)
45688,0307249026,Tale Of The Blue Monkey (Ghosts Of Fear Street #29),R. L. Stine,1998,Golden Books
45702,0380757494,Piers Anthony'S Visual Guide To Xanth (Xanth Novels (Paperback)),Piers Anthony,1989,Harpercollins
45771,0553212834,"Four Tragedies: Hamlet, Othello, King Lear, Macbeth (Bantam Classics)",William Shakespeare,1988,Bantam
45774,0425149579,Fighter Wing: A Guided Tour Of An Air Force Combat Wing,Tom Clancy,1997,Berkley Publishing Group
45776,0399144935,Every Man A Tiger (Commander'S),Tom Clancy,1999,Penguin Putnam
45781,0345335996,Spell For Chameleon,Piers Anthony,1981,Del Rey Books
45792,3442430534,Interview Mit Einem Vampir,Anne Rice,1994,Distribooks Inc
45811,0486419258,The Canterville Ghost And Other Stories (Dover Thrift Editions Series),Oscar Wilde,2001,Dover Publications
45950,042516926X,The Thirteen Problems (Agatha Christie Mysteries Collection (Paperback)),Agatha Christie,1998,Berkley Publishing Group
46005,0399146261,"Three Complete Novels: Cold Fire, Hideaway, Key To Midnight",Dean R. Koontz,2000,Putnam Publishing Group
46006,0399141251,"3 Complete Novels: The House Of Thunder, Shadowfires, Midnight",Dean R. Koontz,1996,Putnam Publishing Group
46007,0425127265,The Bone Yard (Night Visions Vi),Dean R. Koontz,1994,Berkley Pub Group
46013,0399143882,"Three Complete Novels: Born In Fire, Born In Ice, Born In Shame",Nora Roberts,1998,Putnam Publishing Group
46029,0765117274,"The Hardy Boys: Volumes 1,2,3",Franklin W. Dixon,1999,Smithmark Publishers
46122,0448089505,Danger On Vampire Trail (Hardy Boys Mystery Stories),Franklin W. Dixon,1971,Grosset &amp; Dunlap
46123,0448089521,"The Shattered Helmet (His Hardy Boys Mystery Stories, No 52)",Franklin W. Dixon,1973,Grosset &amp; Dunlap
46124,0671872109,"Racing To Disaster (Hardy Boys 126) : Racing To Disaster (Hardy Boys, 126)",Franklin W. Dixon,1994,Aladdin
46125,0671422901,Stone Idol    Hb P (Hardy Boys (Paperback)),Franklin W. Dixon,1981,Aladdin
46126,0671674625,Paris Connection - Nancy Drew And Hardy Boys Supermystery #6 (Nancy Drew &Amp; Hardy Boys Supermystery),Carolyn Keene,1990,Simon Pulse
46127,0671626493,"See No Evil (Hardy Boys Casefiles, No. 8)",Franklin W. Dixon,1987,Pocket Books
46128,0671626477,"The Crowning Terror (Hardy Boys Casefiles, No 6)",Franklin W. Dixon,1987,Pocket Books
46129,0671626485,Deathgame (Hardy Boys Casefiles (Paperback)),Franklin W. Dixon,1987,Pocket Books
46130,0671700405,"Strategic Moves: Hardy Boys Casefiles #43 (Hardy Boys File, No 43)",Franklin W. Dixon,1990,Simon Pulse
46134,0671792997,"The Secret Lost At Sea (Nancy Drew 113) : The Secret Lost At Sea (Nancy Drew Mystery Stories, No 113)",Carolyn Keene,1993,Aladdin
46135,0671630202,"White Water Terror (The Nancy Drew Case Files, No. 6)",Carolyn Keene,1986,Pocket Books
46136,067174674X,Secrets Can Kill (Nancy Drew Files 1) : Secrets Can Kill (Nancy Drew Files),Carolyn Keene,1991,Simon Pulse
46137,0553276727,Dear Sister (Sweet Valley High No. 7),Francine Pascal,1984,Sweet Valley
46138,0553156578,The Haunted House (Sweet Valley Twins 3),Francine Pascal,1986,Sweet Valley
46139,0553156594,"Sneaking Out (Sweet Valley Twins, No 5)",Francine Pascal,1987,Sweet Valley
46140,0553156624,"First Place (Sweet Valley Twins, No 8)",Francine Pascal,1987,Sweet Valley
46141,0553155954,"Bully, The #19",Francine Pascal,1988,Yearling Books
46158,0448089017,The Tower Treasure (Hardy Boys No 1),Franklin W. Dixon,1976,Grosset &amp; Dunlap
46200,0743525841,The Man In The Black Suit : 4 Dark Tales,Stephen King,2002,Audioworks
46236,0590415883,"Baby-Sitters On Board! (Baby-Sitters Club Super Special, 1)",Ann M. Martin,1988,Scholastic Paperbacks
46265,0373031041,"City Girl, Country Girl (Harlequin Romance, No 3104)",Mary Higgins Clark,1991,Harlequin
46335,0380507730,100 Great Science Fiction Short Short Stories,Isaac Asimov,1985,Avon Books
46349,0140869352,Apt Pupil,Stephen King,1998,Penguin Audiobooks
46354,1574534920,Pegasus In Flight And To Ride Pegasus,Anne McCaffrey,2002,Audio Literature
46357,0743504445,Dreamcatcher : A Novel,Stephen King,2001,Audioworks
46382,0425169219,Death In The Clouds (Agatha Christie Mysteries Collection (Paperback)),Agatha Christie,1998,Berkley Publishing Group
46384,0375401075,Michael Crichton'S Jurassic World,Michael Crichton,1997,Alfred A. Knopf
46410,0192834142,The Tempest (Oxford World'S Classics),William Shakespeare,1998,Oxford University Press
46433,0345336062,Smith Of Wootton Major And Farmer Giles Of Ham,J. R. R. Tolkien,1991,Del Rey Books
46529,0380752867,And Eternity (Incarnations Of Immortality (Paperback)),Piers Anthony,1991,Eos
46530,0345322231,Being A Green Mother (Incarnations Of Immortality (Paperback)),Piers Anthony,1990,Del Rey Books
46531,0345349342,Juxtaposition (Apprentice Adept (Paperback)),Piers Anthony,1991,Del Rey Books
46532,0441662633,"Phaze Doubt (Apprentice Adept Series, Book 7)",Piers Anthony,1994,Ace Books
46533,0812502574,Serpent'S Silver (Kelvin),Piers Anthony,1989,Tor Books
46535,0345322215,Wielding A Red Sword (Incarnations Of Immortality (Paperback)),Piers Anthony,1987,Del Rey Books
46603,0441670253,Sword Of Aldones,Marion Zimmer Bradley,1984,Ace Books
46644,0373834314,"Dangerous Desires Collection (Too Wild To Wed, Montana Man, And Falling Angel)",Jayne Ann Krentz,1999,Harlequin Books
46666,0192833553,Pride And Prejudice (Oxford World'S Classics),Jane Austen,1998,Oxford University Press
46667,048627067X,A Midsummer Night'S Dream (Dover Thrift Editions),William Shakespeare,1992,Dover Publications
46679,0670914266,31 Songs,Nick Hornby,2003,Viking Books
46744,0590432796,The Boyfriend (Point),R. L. Stine,1995,Scholastic
46745,0590470523,"Stacey And The Mystery At The Mall (Baby-Sitters Club Mystery, 14)",Ann M. Martin,1994,Scholastic
46769,8481301493,Las Aventuras De Tom Sawyer,Mark Twain,2002,Millenium
46815,2253013870,Cinq Petits Cochons,Agatha Christie,1976,LGF
46838,2266078011,"Op Center, Tome 1",Tom Clancy,1998,Pocket
46853,0312979770,The Seven Dials Mystery (St. Martin'S Minotaur Mysteries),Agatha Christie,2001,St. Martin's Paperbacks
46870,0886775523,Sword And Sorceress X: An Anthology Of Heroic Fantasy (Sword And Sorceress Short Fiction Anthology Series),Marion Zimmer Bradley,1993,New Amer Library
46972,0345311957,Currents Of Space,Isaac Asimov,1983,Del Rey Books
46973,0553291661,Lucky Starr: Book 1,Isaac Asimov,1993,Spectra Books
46997,037307123X,Dual Image,Nora Roberts,1985,Silhouette
47005,0345276469,Agatha Christie: An Autobiography,Agatha Christie,1978,Ballantine Books
47031,1551662701,Lady'S Choice,Jayne Ann Krentz,1997,Mira
47047,0064410412,"What Scares You The Most? (Nightmare Room Thrillogy, 2)",R. L. Stine,2001,Avon Books
47053,0671692127,Nightway,Janet Dailey,1989,Pocket
47072,0373483430,Case Of The Mesmerizing Boss (And The Winner Is),Diana Palmer,1997,Silhouette
47089,0373084064,"After The Music (Silhouette Romances, No 406)",Diana Palmer,1985,Silhouette
47128,067169863X,"Sassinak (Planet Pirates, Vol 1)",Anne McCaffrey,1990,Baen
47169,0821776118,Maybe This Christmas,Janet Dailey,2003,Zebra Books
47188,0345273893,The Acts Of King Arthur And Noble Nights,John Steinbeck,1977,Del Rey Books
47232,0373078234,"Captive Star  (Stars Of Mithra) (Harlequin Intimate Moments, No 823)",Nora Roberts,1997,Silhouette
47326,0373833474,"Lone Star Baby  (Heart Of Texas) (Harlequin Promo , No 6)",Debbie Macomber,1998,Harlequin
47337,0671423630,Trapped At Seahb P (Hardy Boys (Paperback)),Franklin W. Dixon,1982,Aladdin
